timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.68634E+12,14425,HTTP Request,200,OK,BLC 1-62,text,TRUE,,177925,266,100,100,https://elearn.daffodilvarsity.edu.bd:443/,105,0,50
1.68634E+12,105,HTTP Request-0,301,Moved Permanently,BLC 1-62,text,TRUE,,349,131,100,100,http://elearn.daffodilvarsity.edu.bd/,105,0,50
1.68634E+12,14319,HTTP Request-1,200,OK,BLC 1-62,text,TRUE,,177576,135,100,100,https://elearn.daffodilvarsity.edu.bd:443/,2130,0,165
1.68634E+12,15082,HTTP Request,200,OK,BLC 1-34,text,TRUE,,177917,266,100,100,https://elearn.daffodilvarsity.edu.bd:443/,108,0,58
1.68634E+12,108,HTTP Request-0,301,Moved Permanently,BLC 1-34,text,TRUE,,349,131,100,100,http://elearn.daffodilvarsity.edu.bd/,108,0,58
1.68634E+12,14974,HTTP Request-1,200,OK,BLC 1-34,text,TRUE,,177568,135,100,100,https://elearn.daffodilvarsity.edu.bd:443/,2559,0,158
1.68634E+12,14677,HTTP Request,200,OK,BLC 1-81,text,TRUE,,177947,266,100,100,https://elearn.daffodilvarsity.edu.bd:443/,109,0,48
1.68634E+12,109,HTTP Request-0,301,Moved Permanently,BLC 1-81,text,TRUE,,349,131,100,100,http://elearn.daffodilvarsity.edu.bd/,109,0,48
1.68634E+12,14568,HTTP Request-1,200,OK,BLC 1-81,text,TRUE,,177598,135,100,100,https://elearn.daffodilvarsity.edu.bd:443/,1930,0,166
1.68634E+12,15396,HTTP Request,200,OK,BLC 1-12,text,TRUE,,177947,266,100,100,https://elearn.daffodilvarsity.edu.bd:443/,93,0,48
1.68634E+12,93,HTTP Request-0,301,Moved Permanently,BLC 1-12,text,TRUE,,349,131,100,100,http://elearn.daffodilvarsity.edu.bd/,93,0,48
1.68634E+12,15303,HTTP Request-1,200,OK,BLC 1-12,text,TRUE,,177598,135,100,100,https://elearn.daffodilvarsity.edu.bd:443/,2417,0,154
